timestamp_utc,timestamp_ist,location,current_speed,free_flow_speed,congestion_index,confidence
2026-03-04 08:25:31.900891+00:00,2026-03-04 13:55:31.900891+00:00,Market Area,47,47,0.0,1.0
2026-03-04 09:01:14.835853+00:00,2026-03-04 14:31:14.835853+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 09:01:15.248961+00:00,2026-03-04 14:31:15.248961+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 09:01:15.381197+00:00,2026-03-04 14:31:15.381197+00:00,Market Area,47,47,0.0,1.0
2026-03-04 09:56:26.740391+00:00,2026-03-04 15:26:26.740391+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 09:56:27.271004+00:00,2026-03-04 15:26:27.271004+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 09:56:27.420432+00:00,2026-03-04 15:26:27.420432+00:00,Market Area,47,47,0.0,1.0
2026-03-04 10:27:58.868451+00:00,2026-03-04 15:57:58.868451+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 10:27:59.422444+00:00,2026-03-04 15:57:59.422444+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 10:27:59.635219+00:00,2026-03-04 15:57:59.635219+00:00,Market Area,47,47,0.0,1.0
2026-03-04 11:02:38.080584+00:00,2026-03-04 16:32:38.080584+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 11:02:38.463176+00:00,2026-03-04 16:32:38.463176+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 11:02:38.654126+00:00,2026-03-04 16:32:38.654126+00:00,Market Area,47,47,0.0,1.0
2026-03-04 11:43:35.193628+00:00,2026-03-04 17:13:35.193628+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 11:43:35.701432+00:00,2026-03-04 17:13:35.701432+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 11:43:35.897448+00:00,2026-03-04 17:13:35.897448+00:00,Market Area,47,47,0.0,1.0
2026-03-04 11:58:31.043675+00:00,2026-03-04 17:28:31.043675+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 11:58:31.705118+00:00,2026-03-04 17:28:31.705118+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 11:58:31.920085+00:00,2026-03-04 17:28:31.920085+00:00,Market Area,47,47,0.0,1.0
2026-03-04 12:51:55.130143+00:00,2026-03-04 18:21:55.130143+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 12:51:55.571490+00:00,2026-03-04 18:21:55.571490+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 12:51:55.759948+00:00,2026-03-04 18:21:55.759948+00:00,Market Area,47,47,0.0,1.0
2026-03-04 13:47:56.321925+00:00,2026-03-04 19:17:56.321925+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 13:47:56.898821+00:00,2026-03-04 19:17:56.898821+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 13:47:57.114722+00:00,2026-03-04 19:17:57.114722+00:00,Market Area,47,47,0.0,1.0
2026-03-04 14:30:41.765717+00:00,2026-03-04 20:00:41.765717+00:00,Central Junction,39,48,0.1875,0.911524
2026-03-04 14:30:42.206201+00:00,2026-03-04 20:00:42.206201+00:00,MC Road Segment,39,48,0.1875,0.911524
2026-03-04 14:30:42.374123+00:00,2026-03-04 20:00:42.374123+00:00,Market Area,47,47,0.0,1.0
2026-03-04 15:22:02.962332+00:00,2026-03-04 20:52:02.962332+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 15:22:03.325841+00:00,2026-03-04 20:52:03.325841+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 15:22:03.463253+00:00,2026-03-04 20:52:03.463253+00:00,Market Area,47,47,0.0,1.0
2026-03-04 16:00:53.362719+00:00,2026-03-04 21:30:53.362719+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 16:00:53.732929+00:00,2026-03-04 21:30:53.732929+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 16:00:53.876828+00:00,2026-03-04 21:30:53.876828+00:00,Market Area,47,47,0.0,1.0
2026-03-04 17:01:15.649589+00:00,2026-03-04 22:31:15.649589+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 17:01:16.071093+00:00,2026-03-04 22:31:16.071093+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 17:01:16.185991+00:00,2026-03-04 22:31:16.185991+00:00,Market Area,47,47,0.0,1.0
2026-03-04 17:55:44.074954+00:00,2026-03-04 23:25:44.074954+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 17:55:44.612541+00:00,2026-03-04 23:25:44.612541+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 17:55:44.854495+00:00,2026-03-04 23:25:44.854495+00:00,Market Area,47,47,0.0,1.0
2026-03-04 18:34:00.383913+00:00,2026-03-05 00:04:00.383913+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 18:34:00.848016+00:00,2026-03-05 00:04:00.848016+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 18:34:01.043071+00:00,2026-03-05 00:04:01.043071+00:00,Market Area,47,47,0.0,1.0
2026-03-04 19:25:15.033461+00:00,2026-03-05 00:55:15.033461+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 19:25:15.560450+00:00,2026-03-05 00:55:15.560450+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 19:25:15.717155+00:00,2026-03-05 00:55:15.717155+00:00,Market Area,47,47,0.0,1.0
2026-03-04 19:54:26.714575+00:00,2026-03-05 01:24:26.714575+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 19:54:27.154478+00:00,2026-03-05 01:24:27.154478+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 19:54:27.329001+00:00,2026-03-05 01:24:27.329001+00:00,Market Area,47,47,0.0,1.0
2026-03-04 20:21:24.062425+00:00,2026-03-05 01:51:24.062425+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 20:21:24.626513+00:00,2026-03-05 01:51:24.626513+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 20:21:24.864934+00:00,2026-03-05 01:51:24.864934+00:00,Market Area,47,47,0.0,1.0
2026-03-04 20:53:29.819946+00:00,2026-03-05 02:23:29.819946+00:00,Central Junction,48,48,0.0,1.0
